1.0000371E+005	1.8250974E+000	-5.2630417E-002
6.8243391E+004	1.8236980E+000	-2.6631840E-002
4.6568813E+004	1.8251204E+000	-1.9315511E-002
3.1788156E+004	1.8262260E+000	-1.1268480E-002
2.1693141E+004	1.8270189E+000	-4.4881264E-003
1.4799215E+004	1.8333899E+000	-4.0780255E-003
1.0104291E+004	1.8298683E+000	-2.4362225E-003
6.8929868E+003	1.8327483E+000	3.5595226E-003
4.7034917E+003	1.8353940E+000	4.7271657E-003
3.2110288E+003	1.8377845E+000	7.3091513E-003
2.1907017E+003	1.8380866E+000	1.1908239E-002
1.4954806E+003	1.8386137E+000	1.4332091E-002
1.0203272E+003	1.8395280E+000	2.0057313E-002
6.9656000E+002	1.8417356E+000	1.8676935E-002
4.7515182E+002	1.8453627E+000	2.4334162E-002
3.2427386E+002	1.8530300E+000	3.3251207E-002
2.2134558E+002	1.8552555E+000	4.2210419E-002
1.5101508E+002	1.8641558E+000	5.6576695E-002
1.0311902E+002	1.8703579E+000	7.1830846E-002
7.0337952E+001	1.8811719E+000	9.0448134E-002
4.8017799E+001	1.8925171E+000	1.2456075E-001
3.2766609E+001	1.9134127E+000	1.6553900E-001
2.2353380E+001	1.9381483E+000	2.2012629E-001
1.5258789E+001	1.9813267E+000	2.9157618E-001
1.0416656E+001	2.0462842E+000	3.8129303E-001
7.1087480E+000	2.1540627E+000	4.8707291E-001
4.8494711E+000	2.3018548E+000	5.9456217E-001
3.3103824E+000	2.5058703E+000	6.7941022E-001
2.2579505E+000	2.7631478E+000	7.1620280E-001
1.5409291E+000	3.0023143E+000	6.5913773E-001
1.0523275E+000	3.1857212E+000	5.4754007E-001
7.1779639E-001	3.3098743E+000	4.1576225E-001
4.8987344E-001	3.3888597E+000	2.9335976E-001
3.3451095E-001	3.4581723E+000	1.9860762E-001
2.2816882E-001	3.5158281E+000	1.4635850E-001
1.5578270E-001	3.5720336E+000	1.3355069E-001
1.0627061E-001	3.6067655E+000	1.4026278E-001
