1.0000371E+005	1.6663914E+000	-5.3782199E-002
6.8243391E+004	1.6689320E+000	-2.4284501E-002
4.6568813E+004	1.6748573E+000	-6.1130608E-003
3.1788156E+004	1.6827210E+000	9.2329821E-003
2.1693141E+004	1.6873628E+000	2.6191572E-002
1.4799215E+004	1.6961242E+000	3.7753005E-002
1.0104291E+004	1.7050269E+000	5.2879632E-002
6.8929868E+003	1.7178404E+000	6.7400254E-002
4.7034917E+003	1.7344208E+000	8.3248675E-002
3.2110288E+003	1.7519729E+000	1.0224880E-001
2.1907017E+003	1.7747179E+000	1.2188190E-001
1.4954806E+003	1.8012196E+000	1.5562265E-001
1.0203272E+003	1.8330657E+000	1.8835844E-001
6.9656000E+002	1.8738536E+000	2.2740035E-001
4.7515182E+002	1.9216673E+000	2.7660924E-001
3.2427386E+002	1.9790568E+000	3.3572257E-001
2.2134558E+002	2.0457702E+000	4.0427384E-001
1.5101508E+002	2.1287847E+000	4.8965645E-001
1.0311902E+002	2.2256355E+000	5.9614563E-001
7.0337952E+001	2.3382452E+000	7.3021305E-001
4.8017799E+001	2.4703581E+000	9.0220928E-001
3.2766609E+001	2.6365726E+000	1.1238643E+000
2.2353380E+001	2.8447025E+000	1.4170858E+000
1.5258789E+001	3.1178527E+000	1.8095901E+000
1.0416656E+001	3.5087874E+000	2.3036778E+000
7.1087480E+000	4.0957141E+000	2.8858697E+000
4.8494711E+000	4.9508662E+000	3.5268643E+000
3.3103824E+000	6.1487050E+000	4.0561466E+000
2.2579505E+000	7.6281404E+000	4.2940884E+000
1.5409291E+000	9.0804958E+000	4.0829573E+000
1.0523275E+000	1.0288709E+001	3.5033023E+000
7.1779639E-001	1.1157089E+001	2.7709603E+000
4.8987344E-001	1.1715020E+001	2.0694368E+000
3.3451095E-001	1.2133812E+001	1.4762726E+000
2.2816882E-001	1.2472715E+001	1.0476992E+000
1.5578270E-001	1.2753345E+001	7.9764557E-001
1.0627061E-001	1.2973458E+001	6.6249526E-001
7.2541833E-002	1.3117023E+001	5.9926581E-001
4.9500093E-002	1.3246125E+001	5.4956102E-001
3.3782944E-002	1.3367048E+001	4.7721311E-001
2.3053512E-002	1.3522064E+001	3.8005435E-001
1.5734285E-002	1.3740760E+001	2.4447571E-001
1.0739043E-002	1.4118132E+001	7.4745558E-002
