Ewe/V	<I>/mA	
1.3745599E+000	0.000000000000000E+000
1.3732044E+000	0.000000000000000E+000
1.2308314E+000	-1.299257723278470E+001
1.2330414E+000	-1.620270651265017E-001
1.2367209E+000	-9.690730725807706E-002
1.2400609E+000	-4.818606867044462E-002
1.2433927E+000	-2.164535951529012E-002
1.2467264E+000	9.619905465788926E-004
1.2500554E+000	1.057192086061479E-002
1.2533958E+000	1.988317092743354E-002
1.2567540E+000	2.744488123730204E-002
1.2601018E+000	3.406299258209827E-002
1.2634246E+000	3.924151084112054E-002
1.2667713E+000	4.398647597684768E-002
1.2701063E+000	4.836947842656526E-002
1.2734329E+000	5.105417242598266E-002
1.2767924E+000	5.422072717002835E-002
1.2801234E+000	5.666658314797871E-002
1.2834499E+000	5.918195913229407E-002
1.2867785E+000	6.129115145129194E-002
1.2901429E+000	6.333052989530163E-002
1.2934740E+000	6.478766083146703E-002
1.2968248E+000	6.655249638730576E-002
1.3001565E+000	6.798329734959729E-002
1.3035002E+000	6.927423719971393E-002
1.3068293E+000	7.021138804676855E-002
1.3101734E+000	7.137755066901152E-002
1.3135136E+000	7.307020339701720E-002
1.3168484E+000	7.346397628659518E-002
1.3201668E+000	7.437986378307970E-002
1.3235025E+000	7.553817458367762E-002
1.3268644E+000	7.665327630378882E-002
1.3301991E+000	7.736068757828840E-002
1.3335340E+000	7.826958022739761E-002
1.3368648E+000	7.963602695756311E-002
1.3402027E+000	8.103278786955648E-002
1.3435596E+000	8.236306151837419E-002
1.3469093E+000	8.327204849044412E-002
1.3502147E+000	8.500202682464597E-002
1.3535591E+000	8.622251741027198E-002
1.3569047E+000	8.895942705279292E-002
1.3602313E+000	9.050897695357363E-002
1.3635916E+000	9.381319561369660E-002
1.3669393E+000	1.038109502725583E-001
1.3702792E+000	9.944855445547707E-002
1.3736138E+000	1.027362042281392E-001
1.3769495E+000	1.074520982717668E-001
1.3802911E+000	1.126532304287646E-001
1.3836317E+000	1.189817836728631E-001
1.3869709E+000	1.268002539161623E-001
1.3903096E+000	1.351706380229776E-001
1.3936622E+000	1.470499499624198E-001
1.3969797E+000	1.605588405206761E-001
1.4003239E+000	1.780576417704611E-001
1.4036567E+000	1.996629196384805E-001
1.4069849E+000	2.260045166401676E-001
1.4103274E+000	2.698239728544598E-001
1.4136518E+000	3.065949901049931E-001
1.4170042E+000	3.565481196821425E-001
1.4203517E+000	4.194828989992558E-001
1.4236418E+000	5.142818865376046E-001
1.4269965E+000	5.981582767375624E-001
1.4303371E+000	7.322527156434666E-001
1.4336756E+000	8.740719900348317E-001
1.4370384E+000	1.048768450011629E+000
1.4403820E+000	1.258552049027109E+000
1.4437151E+000	1.506404405533366E+000
1.4470456E+000	1.801357569817519E+000
1.4503819E+000	2.137995414950105E+000
1.4537331E+000	2.535760377604234E+000
1.4570751E+000	2.989175972644858E+000
1.4604014E+000	3.515130903785995E+000
1.4637569E+000	4.108044008340414E+000
1.4670757E+000	4.786648191117308E+000
1.4704174E+000	5.546484413358765E+000
1.4737229E+000	6.395562749357119E+000
1.4770612E+000	7.333998417688747E+000
1.4804227E+000	8.396148423913672E+000
1.4837530E+000	9.554677387753856E+000
1.4871112E+000	1.085217177304516E+001
1.4904736E+000	1.225663389402317E+001
1.4938133E+000	1.375646932400173E+001
1.4971498E+000	1.539159545773504E+001
1.5004897E+000	1.715950220335412E+001
1.5038258E+000	1.901637633559167E+001
1.5071601E+000	2.104957055996877E+001
1.5105169E+000	2.314433480748032E+001
1.5138494E+000	2.540616395391122E+001
1.5171721E+000	2.791893276812698E+001
1.5205258E+000	3.055185621465341E+001
1.5238674E+000	3.335067753721442E+001
1.5271837E+000	3.634529992577404E+001
1.5305463E+000	3.951167328453951E+001
1.5338503E+000	4.286846780745316E+001
1.5371928E+000	4.643817633280332E+001
1.5405471E+000	5.019534718816533E+001
1.5438738E+000	5.419238919501254E+001
1.5472094E+000	5.828759407616111E+001
1.5505612E+000	6.244622632708183E+001
1.5538839E+000	6.691646312588432E+001
1.5572389E+000	7.178735471813070E+001
1.5605794E+000	7.692036664124475E+001
1.5639174E+000	8.232743661558970E+001
1.5673031E+000	8.802333724240873E+001
1.5706443E+000	9.394911438890017E+001
1.5739945E+000	1.000823876992633E+002
1.5773435E+000	1.062715139716369E+002
1.5807188E+000	1.134170341152876E+002
1.5840611E+000	1.213195773801485E+002
1.5874004E+000	1.292415611809325E+002
1.5907594E+000	1.372841139276275E+002
1.5941073E+000	1.454984895302135E+002
1.5974612E+000	1.538876321368793E+002
1.6008158E+000	1.630474957596521E+002
1.6041713E+000	1.722814282559357E+002
1.6075116E+000	1.814151440645976E+002
1.6108594E+000	1.913090500525174E+002
1.6141998E+000	2.022678254825460E+002
1.6175582E+000	2.134135855292907E+002
1.6209176E+000	2.246442972942104E+002
1.6242453E+000	2.370084081530962E+002
1.6276115E+000	2.488904342999158E+002
1.6310161E+000	2.607077015450351E+002
1.6343622E+000	2.728636877004847E+002
1.6377060E+000	2.854245047853792E+002
1.6410702E+000	2.998416046149914E+002
1.6444457E+000	3.144771097455496E+002
1.6477957E+000	3.294764682360878E+002
1.6511401E+000	3.442003256048956E+002
1.6544762E+000	3.564688594447071E+002
1.6578398E+000	3.695362139910203E+002
1.6611807E+000	3.819806880205197E+002
1.6645448E+000	4.002546196326375E+002
1.6679085E+000	4.148944983834842E+002
1.6712685E+000	4.257493335363297E+002
1.6746596E+000	4.493184610345816E+002
1.6780038E+000	4.692088416856714E+002
1.6813929E+000	4.853846985056516E+002
1.6847444E+000	4.916072046481811E+002
1.6880870E+000	4.980161542675414E+002
1.6914569E+000	5.207642267121983E+002
1.6947914E+000	5.416323288561684E+002
1.6981680E+000	5.513131082396940E+002
1.7014920E+000	5.533015275304433E+002
1.7033216E+000	5.555572703968392E+002
