1.0000371E+005	1.6105027E+000	-1.2900166E-001
6.8243391E+004	1.6118392E+000	-8.4164254E-002
4.6568813E+004	1.6124359E+000	-5.5739924E-002
3.1788156E+004	1.6131179E+000	-3.4042034E-002
2.1693141E+004	1.6161956E+000	-1.6050531E-002
1.4799215E+004	1.6193421E+000	-5.9569972E-003
1.0104291E+004	1.6276318E+000	-2.7604504E-003
6.8929868E+003	1.6266135E+000	3.1206885E-003
4.7034917E+003	1.6319913E+000	9.2598097E-003
3.2110288E+003	1.6341782E+000	1.5814582E-002
2.1907017E+003	1.6367068E+000	1.8086139E-002
1.4954806E+003	1.6410706E+000	2.1885322E-002
1.0203272E+003	1.6443024E+000	2.7950441E-002
6.9656000E+002	1.6485060E+000	3.2493316E-002
4.7515182E+002	1.6540768E+000	4.4864085E-002
3.2427386E+002	1.6647309E+000	5.4741088E-002
2.2134558E+002	1.6713609E+000	7.2727904E-002
1.5101508E+002	1.6840421E+000	9.3563773E-002
1.0311902E+002	1.6980120E+000	1.2076502E-001
7.0337952E+001	1.7173331E+000	1.5829818E-001
4.8017799E+001	1.7426914E+000	2.0640387E-001
3.2766609E+001	1.7740098E+000	2.7174968E-001
2.2353380E+001	1.8162754E+000	3.5794753E-001
1.5258789E+001	1.8779157E+000	4.7544342E-001
1.0416656E+001	1.9723419E+000	6.2774771E-001
7.1087480E+000	2.1238070E+000	8.0309576E-001
4.8494711E+000	2.3492513E+000	1.0170646E+000
3.3103824E+000	2.6724946E+000	1.2382118E+000
2.2579505E+000	3.1249018E+000	1.3628693E+000
1.5409291E+000	3.6105006E+000	1.3606116E+000
1.0523275E+000	4.0645099E+000	1.2041296E+000
7.1779639E-001	4.4069166E+000	9.7767991E-001
4.8987344E-001	4.6233263E+000	7.4940079E-001
3.3451095E-001	4.7460890E+000	5.6438762E-001
2.2816882E-001	4.8144016E+000	4.2272714E-001
1.5578270E-001	4.8560481E+000	3.1778547E-001
1.0627061E-001	4.8874393E+000	2.2559504E-001
7.2541833E-002	4.9350781E+000	1.4770131E-001
