Results:

Channel 1:

Potential/V	Current/A

2.200	5.467e-2
2.199	5.428e-2
2.198	5.388e-2
2.197	5.353e-2
2.196	5.318e-2
2.195	5.283e-2
2.194	5.251e-2
2.193	5.217e-2
2.192	5.185e-2
2.191	5.151e-2
2.190	5.118e-2
2.189	5.084e-2
2.188	5.049e-2
2.187	5.016e-2
2.186	4.984e-2
2.185	4.956e-2
2.184	4.924e-2
2.183	4.890e-2
2.182	4.855e-2
2.181	4.823e-2
2.180	4.791e-2
2.179	4.761e-2
2.178	4.732e-2
2.177	4.700e-2
2.176	4.671e-2
2.175	4.641e-2
2.174	4.610e-2
2.173	4.578e-2
2.172	4.547e-2
2.171	4.518e-2
2.170	4.489e-2
2.169	4.460e-2
2.168	4.432e-2
2.167	4.404e-2
2.166	4.375e-2
2.165	4.345e-2
2.164	4.318e-2
2.163	4.286e-2
2.162	4.255e-2
2.161	4.226e-2
2.160	4.198e-2
2.159	4.174e-2
2.158	4.147e-2
2.157	4.119e-2
2.156	4.092e-2
2.155	4.066e-2
2.154	4.039e-2
2.153	4.012e-2
2.152	3.985e-2
2.151	3.956e-2
2.150	3.928e-2
2.149	3.901e-2
2.148	3.873e-2
2.147	3.847e-2
2.146	3.821e-2
2.145	3.796e-2
2.144	3.771e-2
2.143	3.746e-2
2.142	3.724e-2
2.141	3.699e-2
2.140	3.675e-2
2.139	3.649e-2
2.138	3.624e-2
2.137	3.599e-2
2.136	3.573e-2
2.135	3.547e-2
2.134	3.522e-2
2.133	3.497e-2
2.132	3.472e-2
2.131	3.448e-2
2.130	3.424e-2
2.129	3.399e-2
2.128	3.376e-2
2.127	3.351e-2
2.126	3.325e-2
2.125	3.301e-2
2.124	3.278e-2
2.123	3.256e-2
2.122	3.233e-2
2.121	3.209e-2
2.120	3.185e-2
2.119	3.162e-2
2.118	3.138e-2
2.117	3.114e-2
2.116	3.091e-2
2.115	3.070e-2
2.114	3.052e-2
2.113	3.034e-2
2.112	3.011e-2
2.111	2.990e-2
2.110	2.969e-2
2.109	2.948e-2
2.108	2.929e-2
2.107	2.907e-2
2.106	2.883e-2
2.105	2.859e-2
2.104	2.839e-2
2.103	2.817e-2
2.102	2.796e-2
2.101	2.776e-2
2.100	2.754e-2
2.099	2.731e-2
2.098	2.709e-2
2.097	2.689e-2
2.096	2.668e-2
2.095	2.646e-2
2.094	2.623e-2
2.093	2.603e-2
2.092	2.583e-2
2.091	2.562e-2
2.090	2.542e-2
2.089	2.525e-2
2.088	2.507e-2
2.087	2.484e-2
2.086	2.463e-2
2.085	2.442e-2
2.084	2.424e-2
2.083	2.405e-2
2.082	2.388e-2
2.081	2.373e-2
2.080	2.355e-2
2.079	2.335e-2
2.078	2.316e-2
2.077	2.302e-2
2.076	2.285e-2
2.075	2.264e-2
2.074	2.245e-2
2.073	2.225e-2
2.072	2.207e-2
2.071	2.189e-2
2.070	2.169e-2
2.069	2.150e-2
2.068	2.131e-2
2.067	2.114e-2
2.066	2.097e-2
2.065	2.081e-2
2.064	2.064e-2
2.063	2.048e-2
2.062	2.031e-2
2.061	2.015e-2
2.060	1.999e-2
2.059	1.983e-2
2.058	1.964e-2
2.057	1.946e-2
2.056	1.931e-2
2.055	1.915e-2
2.054	1.898e-2
2.053	1.882e-2
2.052	1.867e-2
2.051	1.852e-2
2.050	1.836e-2
2.049	1.820e-2
2.048	1.804e-2
2.047	1.788e-2
2.046	1.774e-2
2.045	1.759e-2
2.044	1.746e-2
2.043	1.735e-2
2.042	1.723e-2
2.041	1.709e-2
2.040	1.695e-2
2.039	1.680e-2
2.038	1.664e-2
2.037	1.649e-2
2.036	1.634e-2
2.035	1.621e-2
2.034	1.609e-2
2.033	1.595e-2
2.032	1.582e-2
2.031	1.567e-2
2.030	1.551e-2
2.029	1.537e-2
