Results:

Channel 1:

Potential/V	Current/A

1.900	1.563e-2
1.899	1.548e-2
1.898	1.536e-2
1.897	1.524e-2
1.896	1.510e-2
1.895	1.496e-2
1.894	1.484e-2
1.893	1.472e-2
1.892	1.461e-2
1.891	1.450e-2
1.890	1.441e-2
1.889	1.431e-2
1.888	1.423e-2
1.887	1.413e-2
1.886	1.403e-2
1.885	1.393e-2
1.884	1.383e-2
1.883	1.375e-2
1.882	1.367e-2
1.881	1.360e-2
1.880	1.352e-2
1.879	1.341e-2
1.878	1.334e-2
1.877	1.321e-2
1.876	1.312e-2
1.875	1.304e-2
1.874	1.295e-2
1.873	1.285e-2
1.872	1.275e-2
1.871	1.265e-2
1.870	1.259e-2
1.869	1.251e-2
1.868	1.244e-2
1.867	1.238e-2
1.866	1.230e-2
1.865	1.222e-2
1.864	1.215e-2
1.863	1.206e-2
1.862	1.200e-2
1.861	1.196e-2
1.860	1.188e-2
1.859	1.179e-2
1.858	1.173e-2
1.857	1.167e-2
1.856	1.158e-2
1.855	1.152e-2
1.854	1.148e-2
1.853	1.144e-2
1.852	1.136e-2
1.851	1.131e-2
1.850	1.124e-2
1.849	1.116e-2
1.848	1.110e-2
1.847	1.103e-2
1.846	1.096e-2
1.845	1.090e-2
1.844	1.082e-2
1.843	1.074e-2
1.842	1.066e-2
1.841	1.061e-2
1.840	1.056e-2
1.839	1.051e-2
1.838	1.045e-2
1.837	1.040e-2
1.836	1.035e-2
1.835	1.028e-2
1.834	1.023e-2
1.833	1.017e-2
1.832	1.011e-2
1.831	1.005e-2
1.830	9.994e-3
1.829	9.956e-3
1.828	9.914e-3
1.827	9.895e-3
1.826	9.830e-3
1.825	9.738e-3
1.824	9.686e-3
1.823	9.630e-3
1.822	9.566e-3
1.821	9.521e-3
1.820	9.486e-3
1.819	9.441e-3
1.818	9.429e-3
1.817	9.388e-3
1.816	9.291e-3
1.815	9.248e-3
1.814	9.202e-3
1.813	9.159e-3
1.812	9.112e-3
1.811	9.066e-3
1.810	9.016e-3
1.809	8.995e-3
1.808	8.980e-3
1.807	8.908e-3
1.806	8.837e-3
1.805	8.781e-3
1.804	8.732e-3
1.803	8.681e-3
1.802	8.660e-3
1.801	8.633e-3
1.800	8.600e-3
1.799	8.537e-3
1.798	8.476e-3
1.797	8.423e-3
1.796	8.371e-3
